# r   MSF(r)
5.25851703 -0.01320691
5.27454910 -0.01374940
5.29058116 -0.01409845
5.30661323 -0.01357371
5.32264529 -0.01440669
5.33867735 -0.01328728
5.35470942 -0.01344168
5.37074148 -0.01328873
5.38677355 -0.01333631
5.40280561 -0.01346667
5.41883768 -0.01565371
5.43486974 -0.01408649
5.45090180 -0.01457098
5.46693387 -0.01486591
5.48296593 -0.01461552
5.49899800 -0.01561428
5.51503006 -0.01316010
5.53106212 -0.01372433
5.54709419 -0.01322169
5.56312625 -0.01301704
5.57915832 -0.01325861
5.59519038 -0.01298966
5.61122244 -0.01365797
5.62725451 -0.01440307
5.64328657 -0.01454195
5.65931864 -0.01474133
5.67535070 -0.01401317
5.69138277 -0.01308067
5.70741483 -0.01547023
5.72344689 -0.01276612
5.73947896 -0.01461998
5.75551102 -0.01394208
5.77154309 -0.01324049
5.78757515 -0.01282362
5.80360721 -0.01332549
5.81963928 -0.01331700
5.83567134 -0.01289243
5.85170341 -0.01308903
5.86773547 -0.01355388
5.88376754 -0.01278114
5.89979960 -0.01342744
5.91583166 -0.01311167
5.93186373 -0.01271140
5.94789579 -0.01301366
5.96392786 -0.01330456
5.97995992 -0.01391129
5.99599198 -0.01296786
6.01202405 -0.01291355
6.02805611 -0.01315605
6.04408818 -0.01311065
6.06012024 -0.01360726
6.07615230 -0.01367256
6.09218437 -0.01302409
6.10821643 -0.01410756
6.12424850 -0.01337695
6.14028056 -0.01394425
6.15631263 -0.01270247
6.17234469 -0.01308455
6.18837675 -0.01359369
6.20440882 -0.01468727
6.22044088 -0.01280609
6.23647295 -0.01281515
6.25250501 -0.01335209
6.26853707 -0.01305678
6.28456914 -0.01367381
6.30060120 -0.01318584
6.31663327 -0.01269703
6.33266533 -0.01266042
6.34869739 -0.01278791
6.36472946 -0.01293464
6.38076152 -0.01323486
6.39679359 -0.01319339
6.41282565 -0.01402463
6.42885772 -0.01385872
6.44488978 -0.01269313
6.46092184 -0.01394940
6.47695391 -0.01268231
6.49298597 -0.01305669
6.50901804 -0.01273165
6.52505010 -0.01270136
6.54108216 -0.01308294
6.55711423 -0.01354254
6.57314629 -0.01352450
6.58917836 -0.01516346
6.60521042 -0.01322559
6.62124248 -0.01407108
6.63727455 -0.01395454
6.65330661 -0.01291034
6.66933868 -0.01517891
6.68537074 -0.01258824
6.70140281 -0.01275638
6.71743487 -0.01262068
6.73346693 -0.01269351
6.74949900 -0.01443327
6.76553106 -0.01268181
6.78156313 -0.01322956
6.79759519 -0.01348832
6.81362725 -0.01354061
6.82965932 -0.01294993
6.84569138 -0.01424392
6.86172345 -0.01261680
6.87775551 -0.01295233
6.89378758 -0.01562493
6.90981964 -0.01274076
6.92585170 -0.01384289
6.94188377 -0.01308178
6.95791583 -0.01251761
6.97394790 -0.01253914
6.98997996 -0.01279836
7.00601202 -0.01260695
7.02204409 -0.01265694
7.03807615 -0.01414604
7.05410822 -0.01260119
7.07014028 -0.01437333
7.08617234 -0.01390997
7.10220441 -0.01299216
7.11823647 -0.01258859
7.13426854 -0.01416387
7.15030060 -0.01476193
7.16633267 -0.01263505
7.18236473 -0.01376981
7.19839679 -0.01312141
7.21442886 -0.01271381
7.23046092 -0.01281275
7.24649299 -0.01284207
7.26252505 -0.01295126
7.27855711 -0.01292724
7.29458918 -0.01263552
7.31062124 -0.01403280
7.32665331 -0.01287867
7.34268537 -0.01308268
7.35871743 -0.01244565
7.37474950 -0.01280411
7.39078156 -0.01299537
7.40681363 -0.01286487
7.42284569 -0.01374051
7.43887776 -0.01356895
7.45490982 -0.01279270
7.47094188 -0.01292552
7.48697395 -0.01246343
7.50300601 -0.01322139
7.51903808 -0.01314410
7.53507014 -0.01292173
7.55110220 -0.01381678
7.56713427 -0.01277339
7.58316633 -0.01277685
7.59919840 -0.01260542
7.61523046 -0.01364057
7.63126253 -0.01282137
7.64729459 -0.01538309
7.66332665 -0.01270442
7.67935872 -0.01397229
7.69539078 -0.01311510
7.71142285 -0.01360555
7.72745491 -0.01267743
7.74348697 -0.01398453
7.75951904 -0.01406148
7.77555110 -0.01242345
7.79158317 -0.01395203
7.80761523 -0.01289595
7.82364729 -0.01348179
7.83967936 -0.01266230
