# r   MSF(r)
13.49749583 0.07580225
13.52253756 0.07628344
13.54757930 0.07661682
13.57262104 0.07596393
13.59766277 0.07586782
13.62270451 0.07711638
13.64774624 0.07709828
13.67278798 0.07613386
13.69782972 0.07519892
13.72287145 0.07440877
13.74791319 0.07702765
13.77295492 0.07720740
13.79799666 0.07701341
13.82303840 0.07608189
13.84808013 0.07711641
13.87312187 0.07694047
13.89816361 0.07712540
13.92320534 0.07563651
13.94824708 0.07681196
13.97328881 0.07686825
13.99833055 0.07741105
14.02337229 0.07728662
14.04841402 0.07653335
14.07345576 0.07716797
14.09849750 0.07738279
14.12353923 0.07723999
14.14858097 0.07720255
14.17362270 0.07770202
14.19866444 0.07546650
14.22370618 0.07631931
14.24874791 0.07710148
14.27378965 0.07514266
14.29883139 0.07741654
14.32387312 0.07714204
14.34891486 0.07728409
14.37395659 0.07734716
14.39899833 0.07754164
14.42404007 0.07760088
14.44908180 0.07657815
14.47412354 0.07769458
14.49916528 0.07598920
14.52420701 0.07489993
14.54924875 0.07710175
14.57429048 0.07727373
14.59933222 0.07755582
14.62437396 0.07710198
14.64941569 0.07762797
14.67445743 0.07702263
14.69949917 0.07725040
14.72454090 0.07764719
14.74958264 0.07549657
14.77462437 0.07764310
14.79966611 0.07664549
14.82470785 0.07817220
14.84974958 0.07701344
14.87479132 0.07767042
14.89983306 0.07791016
14.92487479 0.07796768
14.94991653 0.07516825
14.97495826 0.07758579
15.00000000 0.07708447
