# r   MSF(r)
1.72344689 -1.72207062
1.73346693 -1.73234602
1.74348697 -1.74226635
1.75350701 -1.75204871
1.76352705 -1.76298396
1.77354709 -1.77247754
1.78356713 -1.78285341
1.79358717 -1.79209439
1.80360721 -1.80226173
1.81362725 -1.81237932
1.82364729 -1.82270885
1.83366733 -1.83289526
1.84368737 -1.84264555
1.85370741 -1.85378585
1.86372745 -1.86277224
1.87374749 -1.87304492
1.88376754 -1.88381544
1.89378758 -1.89368152
1.90380762 -1.90317824
1.91382766 -1.91224560
1.92384770 -1.92263904
1.93386774 -1.93291911
1.94388778 -1.94274786
1.95390782 -1.95318917
1.96392786 -1.96475792
1.97394790 -1.97260922
1.98396794 -1.98325180
1.99398798 -1.99278001
2.00400802 -2.00388136
2.01402806 -2.01294664
2.02404810 -2.02328596
2.03406814 -2.03377740
2.04408818 -2.04292553
2.05410822 -2.05423261
2.06412826 -2.06391857
2.07414830 -2.07262364
2.08416834 -2.08355433
2.09418838 -2.09294294
2.10420842 -2.10364225
2.11422846 -2.11395610
2.12424850 -2.12342028
2.13426854 -2.13310502
2.14428858 -2.14342194
2.15430862 -2.15426612
2.16432866 -2.16414532
2.17434870 -2.17441805
2.18436874 -2.18359717
2.19438878 -2.19344530
2.20440882 -2.20281958
2.21442886 -2.21306742
2.22444890 -2.22414089
2.23446894 -2.23363116
2.24448898 -2.24358530
2.25450902 -2.25394172
2.26452906 -2.26339681
2.27454910 -2.27349397
2.28456914 -2.28543795
2.29458918 -2.29342095
2.30460922 -2.30453725
2.31462926 -2.31311053
2.32464930 -2.32346909
2.33466934 -2.33376896
2.34468938 -2.34376350
2.35470942 -2.35528498
2.36472946 -2.36349720
2.37474950 -2.37457751
2.38476954 -2.38482309
2.39478958 -2.39358784
2.40480962 -2.40374515
2.41482966 -2.41416133
2.42484970 -2.42377141
2.43486974 -2.43359377
2.44488978 -2.44534175
2.45490982 -2.45348614
2.46492986 -2.46352139
2.47494990 -2.47376935
2.48496994 -2.48343709
2.49498998 -2.49443550
2.50501002 -2.50369578
2.51503006 -2.51495664
2.52505010 -2.52391682
2.53507014 -2.53395998
2.54509018 -2.54402638
2.55511022 -2.55451527
2.56513026 -2.56414293
2.57515030 -2.57510408
2.58517034 -2.58415534
2.59519038 -2.59375196
2.60521042 -2.60413509
2.61523046 -2.61385313
2.62525050 -2.62390019
2.63527054 -2.63391212
2.64529058 -2.64496300
2.65531062 -2.65544796
2.66533066 -2.66419504
2.67535070 -2.67412214
2.68537074 -2.68577558
2.69539078 -2.69410894
2.70541082 -2.70411055
2.71543086 -2.71595896
2.72545090 -2.72421615
2.73547094 -2.73418043
2.74549098 -2.74445309
2.75551102 -2.75471959
2.76553106 -2.76472309
2.77555110 -2.77487202
2.78557114 -2.78539941
2.79559118 -2.79564738
2.80561122 -2.80468125
2.81563126 -2.81401702
2.82565130 -2.82598790
2.83567134 -2.83430659
2.84569138 -2.84443705
2.85571142 -2.85447552
2.86573146 -2.86462658
