# r   MSF(r)
6.01202405 -0.00270668
6.02805611 -0.00231823
6.04408818 -0.00113003
6.06012024 -0.00124950
6.07615230 -0.00259230
6.09218437 -0.00108225
6.10821643 -0.00224974
6.12424850 -0.00171344
6.14028056 -0.00126939
6.15631263 -0.00290313
6.17234469 -0.00125168
6.18837675 -0.00127269
6.20440882 -0.00104122
6.22044088 -0.00205969
6.23647295 -0.00115022
6.25250501 -0.00145099
6.26853707 -0.00106136
6.28456914 -0.00144548
6.30060120 -0.00103744
6.31663327 -0.00261145
6.33266533 -0.00154218
6.34869739 -0.00168080
6.36472946 -0.00116443
6.38076152 -0.00160466
6.39679359 -0.00125089
6.41282565 -0.00108668
6.42885772 -0.00121751
6.44488978 -0.00115273
6.46092184 -0.00185456
6.47695391 -0.00198777
6.49298597 -0.00139106
6.50901804 -0.00223226
6.52505010 -0.00268983
6.54108216 -0.00194992
6.55711423 -0.00240942
6.57314629 -0.00124922
6.58917836 -0.00155639
6.60521042 -0.00250061
6.62124248 -0.00130591
6.63727455 -0.00132550
6.65330661 -0.00144718
6.66933868 -0.00154225
6.68537074 -0.00130470
6.70140281 -0.00141217
6.71743487 -0.00131147
6.73346693 -0.00182168
6.74949900 -0.00198674
6.76553106 -0.00172580
6.78156313 -0.00142378
6.79759519 -0.00127818
6.81362725 -0.00137184
6.82965932 -0.00183269
6.84569138 -0.00116905
6.86172345 -0.00328703
6.87775551 -0.00117544
6.89378758 -0.00134173
6.90981964 -0.00117638
6.92585170 -0.00200477
6.94188377 -0.00173086
6.95791583 -0.00111174
6.97394790 -0.00150411
6.98997996 -0.00199636
7.00601202 -0.00161350
7.02204409 -0.00248139
7.03807615 -0.00145146
7.05410822 -0.00185391
7.07014028 -0.00101669
7.08617234 -0.00094338
7.10220441 -0.00159973
7.11823647 -0.00139339
7.13426854 -0.00236860
7.15030060 -0.00148762
7.16633267 -0.00151789
7.18236473 -0.00109559
7.19839679 -0.00147058
7.21442886 -0.00129865
7.23046092 -0.00123878
7.24649299 -0.00248386
7.26252505 -0.00137101
7.27855711 -0.00157580
7.29458918 -0.00121348
7.31062124 -0.00138711
7.32665331 -0.00131471
7.34268537 -0.00203604
7.35871743 -0.00129727
7.37474950 -0.00143462
7.39078156 -0.00127983
7.40681363 -0.00148631
7.42284569 -0.00145789
7.43887776 -0.00191491
7.45490982 -0.00195059
7.47094188 -0.00326549
7.48697395 -0.00141006
7.50300601 -0.00133733
7.51903808 -0.00101150
7.53507014 -0.00096118
7.55110220 -0.00198197
7.56713427 -0.00171162
7.58316633 -0.00149882
7.59919840 -0.00235070
7.61523046 -0.00222328
7.63126253 -0.00162426
7.64729459 -0.00090946
7.66332665 -0.00093259
7.67935872 -0.00222912
7.69539078 -0.00151439
7.71142285 -0.00297995
7.72745491 -0.00165877
7.74348697 -0.00141976
7.75951904 -0.00122869
7.77555110 -0.00092863
7.79158317 -0.00119961
7.80761523 -0.00087753
7.82364729 -0.00117723
7.83967936 -0.00168301
7.85571142 -0.00181536
7.87174349 -0.00168242
7.88777555 -0.00221408
7.90380762 -0.00304213
7.91983968 -0.00101134
7.93587174 -0.00187885
7.95190381 -0.00119731
7.96793587 -0.00370729
7.98396794 -0.00113697
8.00000000 -0.00103446
