# r   MSF(r)
3.89579158 -0.64235799
3.91182365 -0.64222902
3.92785571 -0.64377377
3.94388778 -0.64413847
3.95991984 -0.64317175
3.97595190 -0.64266796
3.99198397 -0.64287634
4.00801603 -0.64169586
4.02404810 -0.64215613
4.04008016 -0.64224537
4.05611222 -0.64223068
4.07214429 -0.64154774
4.08817635 -0.64526607
4.10420842 -0.64168534
4.12024048 -0.64195922
4.13627255 -0.64116700
4.15230461 -0.64029865
4.16833667 -0.64327746
4.18436874 -0.64271635
4.20040080 -0.64080720
4.21643287 -0.63965569
4.23246493 -0.63968046
4.24849699 -0.64011464
4.26452906 -0.64361699
4.28056112 -0.63959877
4.29659319 -0.63998952
4.31262525 -0.64105208
4.32865731 -0.63920108
4.34468938 -0.64471704
4.36072144 -0.64055349
4.37675351 -0.63925549
4.39278557 -0.63963386
4.40881764 -0.63839623
4.42484970 -0.63857643
4.44088176 -0.63864271
4.45691383 -0.63862482
4.47294589 -0.63835810
4.48897796 -0.64174635
4.50501002 -0.64202907
4.52104208 -0.64023856
4.53707415 -0.63775283
4.55310621 -0.63876472
4.56913828 -0.64018499
4.58517034 -0.64025575
4.60120240 -0.63787700
4.61723447 -0.63817612
4.63326653 -0.63750481
4.64929860 -0.63865660
4.66533066 -0.63770517
4.68136273 -0.63846068
4.69739479 -0.63734253
4.71342685 -0.63665959
4.72945892 -0.63719060
4.74549098 -0.63682242
4.76152305 -0.63827195
4.77755511 -0.63819097
4.79358717 -0.63642049
4.80961924 -0.63636487
4.82565130 -0.63681197
4.84168337 -0.63654068
4.85771543 -0.63748363
4.87374749 -0.63678699
4.88977956 -0.63631409
4.90581162 -0.63707789
4.92184369 -0.64079821
4.93787575 -0.63626633
4.95390782 -0.63575631
4.96993988 -0.63642913
4.98597194 -0.63623437
5.00200401 -0.64171793
5.01803607 -0.63617618
5.03406814 -0.63812584
5.05010020 -0.63534777
5.06613226 -0.63574134
5.08216433 -0.63599398
5.09819639 -0.63636572
5.11422846 -0.63610642
5.13026052 -0.63540746
5.14629259 -0.63525594
5.16232465 -0.63456438
5.17835671 -0.63523014
5.19438878 -0.63862978
5.21042084 -0.63647704
5.22645291 -0.63477854
5.24248497 -0.63593139
5.25851703 -0.63434286
5.27454910 -0.63433076
5.29058116 -0.63452446
5.30661323 -0.63490509
5.32264529 -0.63485215
5.33867735 -0.63529017
5.35470942 -0.63519530
5.37074148 -0.63450410
5.38677355 -0.63390949
5.40280561 -0.63356647
5.41883768 -0.63378060
5.43486974 -0.63476288
5.45090180 -0.63601553
5.46693387 -0.63427354
5.48296593 -0.63426711
5.49899800 -0.63418167
5.51503006 -0.63337939
5.53106212 -0.63464891
5.54709419 -0.63330392
5.56312625 -0.63384751
5.57915832 -0.63341957
5.59519038 -0.63343584
5.61122244 -0.63338368
5.62725451 -0.63388271
5.64328657 -0.63356872
5.65931864 -0.63338129
5.67535070 -0.63338974
5.69138277 -0.63258036
5.70741483 -0.63335527
5.72344689 -0.63300966
5.73947896 -0.63275198
5.75551102 -0.63312898
5.77154309 -0.63386690
5.78757515 -0.63408969
5.80360721 -0.63416818
5.81963928 -0.63236180
5.83567134 -0.63224423
5.85170341 -0.63228953
5.86773547 -0.63225122
5.88376754 -0.63266870
5.89979960 -0.63252336
5.91583166 -0.63246531
5.93186373 -0.63427576
5.94789579 -0.63196409
5.96392786 -0.63327042
5.97995992 -0.63210689
5.99599198 -0.63619678
6.01202405 -0.63306948
6.02805611 -0.63159457
6.04408818 -0.63187171
6.06012024 -0.63153985
6.07615230 -0.63223234
6.09218437 -0.63134001
6.10821643 -0.63185605
6.12424850 -0.63185939
6.14028056 -0.63173687
6.15631263 -0.63163680
6.17234469 -0.63175043
6.18837675 -0.63259740
6.20440882 -0.63174402
6.22044088 -0.63180590
6.23647295 -0.63100398
6.25250501 -0.63127261
6.26853707 -0.63215556
6.28456914 -0.63364535
6.30060120 -0.63153185
