# r   MSF(r)
4.51903808 -0.00166838
4.52905812 -0.00228865
4.53907816 -0.00124282
4.54909820 -0.00216727
4.55911824 -0.00212385
4.56913828 -0.00124499
4.57915832 -0.00144158
4.58917836 -0.00161761
4.59919840 -0.00178691
4.60921844 -0.00140362
4.61923848 -0.00134780
4.62925852 -0.00132013
4.63927856 -0.00139359
4.64929860 -0.00325701
4.65931864 -0.00197918
4.66933868 -0.00166037
4.67935872 -0.00144797
4.68937876 -0.00153137
4.69939880 -0.00172399
4.70941884 -0.00174425
4.71943888 -0.00204001
4.72945892 -0.00120958
4.73947896 -0.00151626
4.74949900 -0.00243623
4.75951904 -0.00165731
4.76953908 -0.00150927
4.77955912 -0.00239176
4.78957916 -0.00160152
4.79959920 -0.00197675
4.80961924 -0.00318535
4.81963928 -0.00140821
4.82965932 -0.00204166
4.83967936 -0.00139229
4.84969940 -0.00328335
4.85971944 -0.00148809
4.86973948 -0.00124196
4.87975952 -0.00209967
4.88977956 -0.00164680
4.89979960 -0.00205884
4.90981964 -0.00194411
4.91983968 -0.00196241
4.92985972 -0.00122499
4.93987976 -0.00123409
4.94989980 -0.00163924
4.95991984 -0.00192115
4.96993988 -0.00129345
4.97995992 -0.00141569
4.98997996 -0.00264043
5.00000000 -0.00238768
